primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"225 kWh/m²
kilowatt hour per square meters",E,Not specified,69 kg CO₂/m²,Not specified,"€1,150 (+ €200)
1150€ + 200€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 115 m²
square meters",4.0,Hyper equipped,"15 m²
square meters",1.0,Fuel oil,Yes,6.0,3.0,"115 m²
square meters","35 m²
square meters","15 m²
square meters",No,"5 m²
square meters",Unknown,"Avenue Van Overbeke 134
1083 - Ganshoren",https://www.trior.be/agence-immobiliere-basilique,5220222,TRIOR Basilique,As new,Yes,Yes,No,Depending on the tenant,"TRIOR Basilique vous propose à proximité du Shopping Basilix, ce charmant appartement situé au 4ème étage comprenant : hall d'entrée, spacieux living avec cuisine américaine équipée, 3 chambres, salle de bains, wc, terrasse. Possibilité d'un garage box + emplacement parking devant :150€ : Charges : 200€ (provisions chauffage, eau, communs, ascenseur). PEB : E//CO² 69 . Libre au 01/04/2023. Descriptif complet sur www.TRIOR.be",All kind,1.0,"13 m²
square meters","12 m²
square meters",Unknown,Unknown,1980.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1173
"224 kWh/m²
kilowatt hour per square meters",E,201402160000212539018,Not specified,Not specified,"€850 (+ €20)
850€ + 20€ per month",1040 — Etterbeek,Apartment for rent,No,"1 bedroom | 75 m²
square meters",2.0,Installed,"19 m²
square meters",1.0,Gas,Yes,3.0,Unknown,"75 m²
square meters","30 m²
square meters","19 m²
square meters",Unknown,Unknown,Yes,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5222088,Bureau Gestion & Propriété,Good,No,Unknown,Unknown,Depending on the tenant,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1174
Not specified,Not specified,Not specified,Not specified,Not specified,"€3,450/month
3450€ per month",1060 — Saint-Gilles,Mansion for rent,No,"6 bedrooms | 210 m²
square meters",999.0,USA installed,"14 m²
square meters",3.0,Gas,Yes,999.0,2.0,"210 m²
square meters","30 m²
square meters","14 m²
square meters",No,Unknown,Yes,"Rue du Page 59 bte 1
1050 - Ixelles",http://www.myimmo.be,5221917,MYIMMO Châtelain,Just renovated,No,No,No,Immediately,"Superb house for a roommate - 6 bedrooms This fully renovated mansion is ready to welcome 6 young workers immediately. Ideally located in Saint-Gilles, the house consists of an entrance hall, a kitchen open on a large living space, 6 bedrooms, 2 shower rooms with toilet, a separate toilet, a basement that can be a storage space or an additional living room and a terrace. Info & visits via chatelain@myimmo.be or via +32 2 514 74 1",All kind,-1.0,"14 m²
square meters","14 m²
square meters","14 m²
square meters","14 m²
square meters",1929.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Isolated,Yes,1175
"234 kWh/m²
kilowatt hour per square meters",E,Not specified,Not specified,Not specified,"€1,450/month
1450€ per month",Ask for the exact address,Apartment for rent,No,2 bedrooms,5.0,Unknown,Unknown,1.0,Unknown,No,6.0,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,"Rue Kindermans 3/19
1050 - Bruxelles-Quartier Louise",http://www.youreden.be,Nerviens,EDEN,Unknown,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1176
"134 kWh/m²
kilowatt hour per square meters",C,Not specified,26 kg CO₂/m²,Not specified,"€1,950 (+ €200)
1950€ + 200€ per month",1000 — Bruxelles,Apartment for rent,No,"3 bedrooms | 125 m²
square meters",2.0,USA hyper equipped,"15 m²
square meters",1.0,Gas,Yes,8.0,2.0,"125 m²
square meters","< than 125 m²
square meters","15 m²
square meters",No,"6 m²
square meters",Unknown,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",Unknown,5221335,BATHIM & CO L’IMMOBILIER SUR MESURE,As new,Yes,No,No,To be defined,"PARC DU CINQUANTENAIRE: Superb bright apartment overlooking the Parc du Cinquantenaire. Located on the 2nd floor of a perfectly maintained building, the apartment has been completely renovated with quality materials. It is composed as follows: spacious entrance hall giving access to a bright living room with a view of the Parc du Cinquantenaire, spacious fully equipped kitchen, 3 bedrooms (15, 11, 8m²), a bathroom, a separate toilet, a storage room . Armored door, private cellar, bike room. Close to European institutions, shops and public transport. To visit quickly with Bathim & Co.",All kind,-1.0,"11 m²
square meters","8 m²
square meters",Unknown,Unknown,1955.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,1177
"335 kWh/m²
kilowatt hour per square meters",F,Not specified,72 kg CO₂/m²,Not specified,"€850/month
850€ per month",1160 — Auderghem,House for rent,No,"1 bedroom | 51 m²
square meters",999.0,Installed,"17 m²
square meters",1.0,Gas,Yes,999.0,3.0,"51 m²
square meters","12 m²
square meters","17 m²
square meters",No,Unknown,Unknown,"Chaussée de Wavre 1307
1160 - Auderghem",http://www.immobolle.be,5140208,Immo Bolle sprl,Good,No,No,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Yes,1178
"193 kWh/m²
kilowatt hour per square meters",D,Not specified,38 kg CO₂/m²,Not specified,"€1,450 (+ €200)
1450€ + 200€ per month",Ask for the exact address,Loft for rent,No,"1 bedroom | 100 m²
square meters",1.0,USA hyper equipped,"23 m²
square meters",2.0,Gas,Yes,3.0,2.0,"100 m²
square meters","48 m²
square meters","23 m²
square meters",Yes,"13 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5221872,Victoire (Location),As new,Yes,Yes,No,Depending on the tenant,"Vergote - Linthout district on the edge of Woluwe Saint Lambert and ideally located near many facilities, magnificent furnished loft offering an area of +/- 100 m². It consists of a large living room (48 m²) with an industrial style kitchen, a bedroom (23 m²) with a office corner, dressing room and a full bathroom with bath and separate shower. Beautiful south facing terrace. Cellar. Common gym available. To see! Available 1 of February . Monthly charges: 200 euros: common- heating and hot water More info: www.victoire.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2017.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1179
"72 kWh/m²
kilowatt hour per square meters",B,Not specified,14 kg CO₂/m²,Not specified,"€3,950 (+ €450)
3950€ + 450€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 155 m²
square meters",999.0,USA hyper equipped,"19 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"155 m²
square meters","77 m²
square meters","19 m²
square meters",Yes,"35 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5221592,Victoire (Location),As new,Yes,Yes,No,To be defined,"Ixelles - Louise, near ChÃtelain - Superb new apartment with high standard finishes, semi-furnished, of ± 155 m² located on the 10th floor with an extraordinary view of all of Brussels including a large, very bright living room with access to the very beautiful terrace with super-equipped American kitchen, 2 large bedrooms (19 - 20 m²), 2 shower rooms, 2 WCs, laundry room, optional parking space (+ 150 EUR), individual gas heating, double flow system, thermal insulation and powerful sonic. A meeting room and a sports hall are available to residents of the building. Concierge.",All kind,-1.0,"20 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1180
"74 kWh/m²
kilowatt hour per square meters",B,Not specified,14 kg CO₂/m²,Not specified,"€3,950 (+ €450)
3950€ + 450€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 140 m²
square meters",999.0,USA hyper equipped,"14 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"140 m²
square meters","61 m²
square meters","14 m²
square meters",Yes,Unknown,Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5221587,Victoire (Location),As new,Yes,Yes,No,Unknown,"Ixelles - Louise, close to the ChÃtelain - Superb new penthouse with high standing finishes, semi-furnished, of ± 140 m² located on the 10th floor with an extraordinary view on all Brussels - including a large and very bright living room with access to the beautiful terrace, a super-equipped American kitchen, 2 large bedrooms (14 - 16 m²), 2 shower rooms, 2 toilets, laundry room, parking space in option for 150 €. Individual gas heating, double flow system, efficient thermal and sonic insulation. A meeting room, as well as a sports room, are at the disposal of the inhabitants of the building. Concierge service.",All kind,-1.0,"16 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1181
"42 kWh/m²
kilowatt hour per square meters",A,Not specified,8 kg CO₂/m²,Not specified,"€2,800 (+ €250)
2800€ + 250€ per month",Ask for the exact address,Ground floor for rent,No,"4 bedrooms | 180 m²
square meters",999.0,USA hyper equipped,"14 m²
square meters",2.0,Unknown,Yes,5.0,2.0,"180 m²
square meters","50 m²
square meters","14 m²
square meters",No,"24 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5221472,Victoire (Location),As new,Yes,Yes,No,Immediately,"In a PRIVATE PARK of 2 Ha 35ca close to the Place Dumon and all amenities, (schools - local shops - public transport) in the brand new project SO STOCKEL, very nice new first floor 4 bedrooms with a surface of +- 180 m² which is composed as follows: an entrance hall with guest toilet, a bright living room ( +- 50 m²) with parquet floor, a magnificent American kitchen super-equipped, a shower room, a bathroom, 4 bedrooms ( 9, 13, 14, 16 m²), a pleasant terrace with a small garden, a laundry room equipped with a washing machine and dryer, electric blinds. Possibility of renting 2 parking spaces (+ 100 euros per space), a private cellar and a stroller room. Indoor and outdoor bicycle parking. Guest parking The building combines a high level of acoustic and energetic performance with high-quality interior finishes. Double-flow ventilation, powder-coated aluminum frames with thermal break system, double glazing, video intercom.",All kind,2.0,"13 m²
square meters","16 m²
square meters","9 m²
square meters",Unknown,2021.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1182
"56 kWh/m²
kilowatt hour per square meters",B,Not specified,11 kg CO₂/m²,Not specified,"€3,750 (+ €450)
3750€ + 450€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 170 m²
square meters",999.0,USA hyper equipped,"23 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"170 m²
square meters","83 m²
square meters","23 m²
square meters",No,"40 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5144571,Victoire (Location),As new,Yes,Yes,No,To be defined,"Ixelles - Louise, near ChÃtelain - Superb new apartment with high standard finishes, semi-furnished, of ± 170 m² located on the 9th floor with an extraordinary view of all of Brussels including a large living room (+ - 83 m²) very bright with access to the very beautiful terrace and a super-equipped American kitchen, 2 large bedrooms (23 - 26 m²), 2 shower rooms, 2 WCs, laundry room, optional parking space (+ 150 EUR), individual gas heating, double flow system, efficient thermal and sound insulation. A meeting room and a sports hall are available to residents of the building. Concierge.",All kind,-1.0,"26 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1183
"74 kWh/m²
kilowatt hour per square meters",B,Not specified,14 kg CO₂/m²,Not specified,"€3,950 (+ €450)
3950€ + 450€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 140 m²
square meters",999.0,USA hyper equipped,"14 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"140 m²
square meters","61 m²
square meters","14 m²
square meters",No,Unknown,Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5144550,Victoire (Location),As new,Yes,Yes,No,Unknown,"Ixelles - Louise, close to the ChÃtelain - Superb new penthouse with high standing finishes, semi-furnished, of ± 140 m² located on the 10th floor with an extraordinary view on all Brussels - including a large and very bright living room with access to the beautiful terrace, a super-equipped American kitchen, 2 large bedrooms (14 - 16 m²), 2 shower rooms, 2 toilets, laundry room, parking space in option for 150 €. Individual gas heating, double flow system, efficient thermal and sonic insulation. A meeting room, as well as a sports room, are at the disposal of the inhabitants of the building. Concierge service.",All kind,-1.0,"16 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1184
"72 kWh/m²
kilowatt hour per square meters",B,Not specified,14 kg CO₂/m²,Not specified,"€3,950 (+ €450)
3950€ + 450€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 155 m²
square meters",999.0,USA hyper equipped,"19 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"155 m²
square meters","77 m²
square meters","19 m²
square meters",No,"35 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5144547,Victoire (Location),As new,Yes,Yes,No,To be defined,"Ixelles - Louise, near ChÃtelain - Superb new apartment with high standard finishes, semi-furnished, of ± 155 m² located on the 10th floor with an extraordinary view of all of Brussels including a large, very bright living room with access to the very beautiful terrace with super-equipped American kitchen, 2 large bedrooms (19 - 20 m²), 2 shower rooms, 2 WCs, laundry room, optional parking space (+ 150 EUR), individual gas heating, double flow system, thermal insulation and powerful sonic. A meeting room and a sports hall are available to residents of the building. Concierge.",All kind,-1.0,"20 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1185
"110 kWh/m²
kilowatt hour per square meters",C,Not specified,21 kg CO₂/m²,Not specified,"€2,900 (+ €450)
2900€ + 450€ per month",Ask for the exact address,Penthouse for rent,No,"2 bedrooms | 100 m²
square meters",999.0,USA hyper equipped,"12 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"100 m²
square meters","36 m²
square meters","12 m²
square meters",No,"50 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5144488,Victoire (Location),As new,Yes,Yes,No,To be defined,"Ixelles - Louise, near ChÃtelain - Superb new penthouse with high standard finishes, semi-furnished, of ± 100m² located on the 11th floor with an extraordinary view of all of Brussels including a large, very bright living room with access to the very beautiful terrace ( +- 50 m²), a super-equipped American kitchen, 2 large bedrooms (12 - 19 m²), 2 shower rooms, 2 WCs, laundry room, an optional parking space (+ 150 EUR), individual gas heating, double flow system, efficient thermal and sound insulation. A meeting room and a sports hall are available to residents of the building. Concierge.",All kind,-1.0,"19 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1186
"104 kWh/m²
kilowatt hour per square meters",C,Not specified,20 kg CO₂/m²,Not specified,"€2,900 (+ €450)
2900€ + 450€ per month",Ask for the exact address,Penthouse for rent,No,"2 bedrooms | 100 m²
square meters",999.0,USA hyper equipped,"24 m²
square meters",2.0,Unknown,Yes,11.0,2.0,"100 m²
square meters","37 m²
square meters","24 m²
square meters",No,"60 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5144428,Victoire (Location),As new,Yes,Yes,No,To be defined,"Ixelles - Louise, near ChÃtelain - Superb new penthouse with high standard finishes, semi-furnished, of ± 100m² located on the 11th floor with an extraordinary view of all of Brussels including a large, very bright living room with access to the very beautiful terrace of +- 50 m², a super-equipped American kitchen, 2 large bedrooms (14 - 24 m²), 2 shower rooms, 2 WCs, laundry room, optional parking space (+ 150 EUR), individual gas heating, dual system flow, efficient thermal and sound insulation . A meeting room and a sports hall are available to residents of the building. Concierge.",All kind,-1.0,"14 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1187
"76 kWh/m²
kilowatt hour per square meters",B,Not specified,Not specified,Not specified,"€1,050 (+ €150)
1050€ + 150€ per month",1200 — Woluwe-Saint-Lambert,Ground floor for rent,No,"1 bedroom | 68 m²
square meters",1.0,USA hyper equipped,"12 m²
square meters",1.0,Gas,Yes,6.0,3.0,"68 m²
square meters","30 m²
square meters","12 m²
square meters",No,"9 m²
square meters",Yes,"1 Avenue Henri Bourgys
1410 - Waterloo",http://www.newdeal.immo,5220357,New Deal Properties,As new,Yes,Yes,No,Depending on the tenant,"Located Avenue Marcel Thiry in the building of 2015 "" Ensor & Delvaux "" - A 1 bedroom apartment of +/- 70m2 + terrace of 9 m2. Available immediately. Entrance hall with checkroom, large living room of 30m² giving onto the terrace, hyper-equipped kitchen, night hall, 1 separate toilet - 1 bedroom - bathroom with shower - laundry. Double glazing - videophone - double flow ventilation - cellar. Inside parking place in supplement and obligatory (+100€/month). Lights and curtain rods installed. Provision of common charges: 150€ including heating, hot water and rental insurance. Individual private consumption (cold water/electricity). PEB : B. - Easy access to the E40 and the Ring - Shops, bus and metro nearby. Information and visits : nathan@newdeal.immo or 0497/166.113",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2015.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1188
"138 kWh/m²
kilowatt hour per square meters",C,Not specified,26 kg CO₂/m²,Not specified,"€750 (+ €140)
750€ + 140€ per month",1080 — Molenbeek-Sint-Jan,Apartment for rent,No,"1 bedroom | 80 m²
square meters",3.0,Installed,"20 m²
square meters",1.0,Gas,Unknown,5.0,3.0,"80 m²
square meters","22 m²
square meters","20 m²
square meters",No,Unknown,Unknown,"Ninoofsesteenweg 1036
1703 - Schepdaal",http://www.hetwoonburo.be,5221974,Het Woonburo bv,Just renovated,Yes,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1956.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1189
"427 kWh/m²
kilowatt hour per square meters",G,Not specified,85 kg CO₂/m²,Not specified,"€3,990 (+ €1)
3990€ + 1€ per month",Ask for the exact address,House for rent,No,"5 bedrooms | 385 m²
square meters",999.0,Hyper equipped,"24 m²
square meters",3.0,Gas,Yes,999.0,3.0,"385 m²
square meters","57 m²
square meters","24 m²
square meters",No,"10 m²
square meters",Unknown,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5217753,Latour et Petit Location,As new,No,No,No,To be defined,"UCCLE - Close to the Avenue de Fré, near the Observatory of Uccle, schools, green spaces and many shops, splendid HOUSE (5bdrs/2bthrs) of a surface of ± 385 sqm with terrace, garden, parking spaces and garage. It consists of an entrance hall with guest toilet, spacious living room of ± 57 sqm with functional open fire, fully equipped and totally renovated kitchen of ± 24 sqm offering access to the garden of 700 sqm facing EAST. The first floor has 3 bedrooms (±24-20-18 sqm), one of which has sumptuous storage cupboards, bathroom and toilet. The upper floor offers 2 other bedrooms (±20-16 sqm), a bathroom and an office space of ±12 sqm. The souplex leads to a second office space of ±19sqm, a games room of ±22 sqm with a billiard table, a storeroom and a technical room with a laundry area. A garage and a space for 4 cars complete this property. Alarm system VERISURE. PEB:G. To discover at L&P!",All kind,4.0,"20 m²
square meters","20 m²
square meters","18 m²
square meters","16 m²
square meters",1900.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1190
"217 kWh/m²
kilowatt hour per square meters",E,Not specified,46 kg CO₂/m²,Not specified,"€1,100 (+ €100)
1100€ + 100€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 110 m²
square meters",3.0,USA hyper equipped,"16 m²
square meters",2.0,Gas,Yes,4.0,2.0,"110 m²
square meters","36 m²
square meters","16 m²
square meters",No,Unknown,Yes,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5208884,Latour et Petit Location,Good,No,No,No,To be defined,"IXELLES, located on the Chaussée de Waterloo at the level of Avenue Louis Lepoutre, on the 3rd and 4th floor of a building of 3 units without elevator, charming APARTMENT (1bed/1off/1shwr/1bathr) of ±110m². The apartment consists of an entrance hall with cloackroom, toilet and shower room, living room of ±15 m², dining room with a super-equipped open kitchen of ±21 m² and access to the balcony. On the first floor, the night hall with laundry space leads to a spacious bedroom with built-in closets and adjoining bathroom (bath, wc, shower, 2 sinks), office/dressing space and on the mezzanine a nice multipurpose space. Charges : 100€ (Communs and cold water). PEB : E+. To discover exclusively atL&P!",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1900.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1191
Not specified,Not specified,624190-6-N-1-3-5,Not specified,Not specified,"€1,050 (+ €80)
1050€ + 80€ per month",1070 — Anderlecht,Ground floor for rent,No,1 bedroom,999.0,Hyper equipped,"13 m²
square meters",1.0,Gas,Yes,999.0,Unknown,"> than 40 m²
square meters","40 m²
square meters","13 m²
square meters",Yes,"25 m²
square meters",No,"Brusselsesteenweg, 15
3080 - Tervuren",http://www.ifacservice.be,spir355060,Ifac Service BV,Unknown,Yes,No,No,Unknown,"Fully furnished new-build apartment with large terrace in the Erasmus Gardens project. Ground floor: Entrance hall (5m²) with separate toilet - Spacious living room (40m²) with open fully equipped kitchen (fridge, oven, extractor, dishwasher and hob) and access to terrace (25m²) -bedroom (13m²) bathroom (4m²) with shower and built-in sink - storage room (2m²) with washing machine and freezer. Other information: Ceramic parquet floor © energy efficient - ventilation system - lighting and curtains provided - videophone, cellar (4m²), ...Apartment is fully ready to move in. Ideally located in a quiet street close to Erasmus metro station, Erasmus hospital, motorway and Neerpedepark! Monthly costs: Provision of 80 euros/month for a.o. thecommon costs Visit the Ifac Service website for more information and photos: https://www.ifacservice.be/nl/te-huur/355060/appartement/anderlecht/seringenlaan-28",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,1192
Not specified,Not specified,20141029-0000251471-01-6,276 kg CO₂/m²,Not specified,"€875 (+ €35)
875€ + 35€ per month",1000 — Brussel,Apartment for rent,No,"1 bedroom | 60 m²
square meters",3.0,USA hyper equipped,Unknown,1.0,Gas,Yes,999.0,Unknown,"60 m²
square meters","< than 60 m²
square meters",Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,As new,Yes,No,No,Unknown,"In the charming Rue de Flandre (Vlaamsesteenweg), a few steps from Saint-Catherine square and the Rue Dansaert, we rent our beautiful and bright apartment. The apartment has recently been fully renovated and is located on the third floor of a small building with elevator. A spacious living room with open, fully equipped kitchen (induction hob, oven, fridge, freezer, dishwasher) offers a pleasant comfort. In addition, it contains a large bedroom with a modern bathroom.

The apartment is rented unfurnished (with the exception of built-in closets in the bathroom + large storage closet in the living room).
Private cellar available.
Possibility to rent a spacious parking space in the building (€135/month).

Close to all shops, café's, restaurants and squares, but situated in the calm residential part of the street. Ideal for a single or couple!

Contract 3 years.
Interested? Email: vlaamse.151@hotmail.com",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,No,No,No,Yes,Unknown,Unknown,1193
Not specified,Not specified,Not specified,Not specified,Not specified,"€600 (+ €50)
600€ + 50€ per month",Ask for the exact address,Studio for rent,No,<function mode at 0x000001E31E296440>,4.0,Installed,Unknown,1.0,Unknown,No,6.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,No,No,No,No,Unknown,Unknown,1194
"206 kWh/m²
kilowatt hour per square meters",D,Not specified,41 kg CO₂/m²,Not specified,"€1,950 (+ €50)
1950€ + 50€ per month",1050 — Ixelles,Duplex for rent,No,"3 bedrooms | 220 m²
square meters",3.0,Unknown,Unknown,2.0,Unknown,Unknown,3.0,Unknown,"220 m²
square meters","40 m²
square meters",Unknown,No,"75 m²
square meters",Unknown,"Place Dr. Schweitzer 18
1082 - Berchem-Ste-Agathe",http://www.century21.be/invest,1832 - 10000989,CENTURY 21 Invest,Unknown,Yes,Unknown,Unknown,Unknown,"Sorry, there is no English translation. Dans une des plus belles avenues de Bruxelles, Century 21 Invest vous propose cet appartement situé dans une petite résidence aux 3e étages avec ascenseur! Il est composé d'un hall d'entrée, un lumineux séjour, une cuisine équipée, 3 chambres à coucher, 1 salles de douche, une salle de bains avec wc, un wc séparé ainsi que la possibilité de créer une belle terrasse! Loyer 1.950 euros/mois + provision pour les consommations de chauffage, eau : 350€/mois + 50€ pour l’entretien des communs + ascenseur. Libre immédiatement! Infos et visites: Century 21 Invest : 02 523 21 21",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1195
"200 kWh/m²
kilowatt hour per square meters",D,Not specified,Not specified,Not specified,"€1,650 (+ €50)
1650€ + 50€ per month",1050 — Ixelles,Apartment for rent,No,"3 bedrooms | 160 m²
square meters",3.0,Unknown,Unknown,2.0,Unknown,Yes,3.0,Unknown,"160 m²
square meters","25 m²
square meters",Unknown,No,Unknown,Unknown,"Place Dr. Schweitzer 18
1082 - Berchem-Ste-Agathe",http://www.century21.be/invest,1831 - 10000988,CENTURY 21 Invest,As new,Yes,Unknown,Unknown,Immediately,"Sorry, there is no English translation. Dans une des plus belles avenues de Bruxelles, Century 21 Invest vous propose cet appartement situé dans une petite résidence au 3e étage avec ascenseur! Il est composé d'un hall d'entrée, un lumineux séjour, une cuisine équipée, 3 chambres à coucher, 2 salles de douches ainsi qu'un wc séparé. Libre immédiatement! Loyer 1.650 euros/mois + 350 euros/mois provision pour consommations de chauffage et eau + 50 euros/mois entretien des communs! Infos et visites: Century 21 Invest : 02 523 21 21",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1196
"344 kWh/m²
kilowatt hour per square meters",F,202000730-0000572547-01-4,68 kg CO₂/m²,Not specified,"€2,600/month
2600€ per month",1000 — BRUXELLES,House for rent,No,"3 bedrooms | 200 m²
square meters",999.0,Hyper equipped,Unknown,4.0,Unknown,Yes,999.0,2.0,"200 m²
square meters","30 m²
square meters",Unknown,No,Unknown,Unknown,"Av G.Dossin de st Georges 5 bte 6
1050 - Ixelles",http://www.contigo.immo,8768 - 1420,Contigo Ixelles,Good,Unknown,Unknown,Unknown,Depending on the tenant,"In the heart of the European Quarter and close to the Square Ambiorix: Very nice house completely renovated with 4 bedrooms and large garden. The apartment is composed as follows: Ground floor: An entrance hall A super equipped kitchen with a ""breakfast"" area of 8m² A living/dining room of 30m² First and second floor: Three bedrooms of 23m² each Two bathrooms Basement : A bedroom of 23m² A shower room A large garden of 70m² An office of 14m² A laundry room of 7m² Additional facilities: Washing machine and dryer Four toilets Charges: Energy information: PEB F Additional information: Available on March 1, 2022",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Not fitted out,Unknown,1197
